GUID 22a6a31e5efb4b2b8346d6c45e5a11a9
Type Gun
Rarity Common
Useable Gun
Slot Primary
ID 18737

Size_X 5
Size_Y 2
Size_Z 0.4
Size2_Z 0.9

Sight 18693
Magazine 18738

Ammo_Min 1
Ammo_Max 20

Safety
Semi
Auto

Hook_Grip
Hook_Sight
Hook_Tactical

Caliber 10068

Range 300
Firerate 20
Action Trigger

Player_Damage 110
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.2
Instakill_Headshots True

Zombie_Damage 150
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 99
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Vehicle_Damage 200
Resource_Damage 200
Object_Damage 150

Invulnerable

Durability 1
Wear 4

Spread_Aim 0.001
Spread_Hip 0.45

Ballistic_Steps 24
Ballistic_Travel 12.5

Recoil_Aim 0.25
Recoil_Min_X -20
Recoil_Min_Y 35
Recoil_Max_X 20
Recoil_Max_Y 40

Recover_X 0.6
Recover_Y 0.6

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Muzzle 4

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 10
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 18737
Blueprint_1_Product 67
Blueprint_1_Products 7
Blueprint_1_Build 27

Asset_Bundle_Version 3
