GUID 63bd4b08e89b4b548d97e72ceb4eefee
Type Gun
Rarity Epic
Useable Gun
Slot Secondary
ID 18703

Size_X 3
Size_Y 2
Size_Z 0.25
Size2_Z 0.25

Magazine 18704

Ammo_Min 3
Ammo_Max 7

Safety
Semi

Caliber 19

Range 125
Firerate 10
Action Trigger

Player_Damage 80
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 2

Zombie_Damage 125
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 99
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 35
Structure_Damage 30
Vehicle_Damage 50
Resource_Damage 40
Object_Damage 50

Durability 0.6

Spread_Aim 0.05
Spread_Hip 0.2

Recoil_Min_X -7
Recoil_Min_Y 20
Recoil_Max_X -15
Recoil_Max_Y 30

Recover_X 0.5
Recover_Y 0.5

Shake_Min_X -0.01
Shake_Min_Y 0.01
Shake_Min_Z -0.1
Shake_Max_X 0.01
Shake_Max_Y -0.01
Shake_Max_Z -0.15

Muzzle 3

Auto_Icon_Camera False
