GUID dd726d02296a4da29075616ecf679ed1
Type Gun
Rarity Common
Useable Gun
Slot Primary
ID 18757

Size_X 3
Size_Y 2
Size_Z 0.375
Size2_Z 0.45

Magazine 18758

Ammo_Min 1
Ammo_Max 30

Hook_Sight
Hook_Tactical

Safety
Semi
Auto

Caliber 10037

Range 150
Firerate 3
Action Trigger

Player_Damage 43
Player_Leg_Multiplier 0.7
Player_Arm_Multiplier 0.7
Player_Spine_Multiplier 0.9
Player_Skull_Multiplier 1.1

Zombie_Damage 49
Zombie_Leg_Multiplier 0.5
Zombie_Arm_Multiplier 0.5
Zombie_Spine_Multiplier 0.7
Zombie_Skull_Multiplier 1.1

Animal_Damage 49
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 15
Structure_Damage 15
Vehicle_Damage 25
Resource_Damage 15
Object_Damage 15

Durability 0.4

Spread_Aim 0.15
Spread_Hip 0.25

Recoil_Min_X -1
Recoil_Min_Y 1.5
Recoil_Max_X 1
Recoil_Max_Y 2

Recover_X 1
Recover_Y 1

Shake_Min_X -0.002
Shake_Min_Y 0.002
Shake_Min_Z -0.01
Shake_Max_X 0.002
Shake_Max_Y -0.002
Shake_Max_Z -0.02

Muzzle 3

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 18757
Blueprint_1_Product 67
Blueprint_1_Products 3
Blueprint_1_Build 27

Asset_Bundle_Version 3
